size,omega0
1141,469.1566666666667
1142,469.3333333333333
1143,469.67
1144,470.64666666666665
1145,471.1166666666667
1146,471.31
1147,472.61333333333334
1148,471.68666666666667
1149,472.8466666666667
1150,472.95
1151,473.60333333333335
1152,474.36333333333334
1153,475.2866666666667
1154,475.11
1155,475.91
1156,476.3566666666667
1157,476.98
1158,477.22333333333336
1159,477.86333333333334
1160,478.5
1161,478.84
1162,479.25666666666666
1163,480.43333333333334
1164,480.0566666666667
1165,481.0233333333333
1166,481.13
1167,481.8833333333333
1168,482.37
1169,482.99
1170,483.54
1171,483.81333333333333
1172,483.59
1173,484.6933333333333
1174,484.75333333333333
1175,486.42333333333335
1176,486.00666666666666
1177,485.72333333333336
1178,486.5833333333333
1179,487.30333333333334
1180,488.0733333333333
1181,488.70666666666665
1182,489.79
1183,489.9033333333333
1184,490.13666666666666
1185,490.25
1186,491.23
1187,491.30333333333334
1188,492.4066666666667
1189,492.37666666666667
1190,493.08
1191,493.4033333333333
1192,493.43333333333334
1193,494.6533333333333
1194,494.24666666666667
1195,495.82
1196,495.75
1197,496.46
1198,497.2366666666667
1199,496.96
1200,498.07666666666665
1201,498.3466666666667
1202,498.49
1203,499.64666666666665
1204,499.80333333333334
1205,500.54333333333335
1206,501.01
1207,501.35333333333335
1208,502.21666666666664
1209,502.73333333333335
1210,503.00333333333333
1211,503.10333333333335
1212,503.17333333333335
1213,504.96
1214,504.31
1215,505.24333333333334
1216,505.86
1217,506.7033333333333
1218,506.9633333333333
1219,507.0366666666667
1220,508.13
1221,508.07666666666665
1222,508.66
1223,509.25666666666666
1224,508.51
1225,510.5933333333333
1226,511.11333333333334
1227,511.16333333333336
1228,511.65
1229,512.2933333333333
1230,512.81
1231,512.9466666666667
1232,513.2866666666666
1233,513.8666666666667
1234,514.2666666666667
1235,514.7933333333333
1236,515.5733333333334
1237,515.8133333333334
1238,515.9833333333333
1239,517.3766666666667
1240,517.57
1241,517.9766666666667
1242,518.8466666666667
1243,518.6766666666666
1244,519.2766666666666
1245,520.3433333333334
1246,520.37
1247,520.9666666666667
1248,520.69
1249,522.1266666666667
