size,omega0
830,204.2545886
831,204.5901709
832,204.9258674
833,205.2616778
834,205.597602
835,205.9336398
836,206.2697911
837,206.6060557
838,206.9424335
839,207.2789242
840,207.6155278
841,207.9522441
842,208.2890729
843,208.626014
844,208.9630674
845,209.3002328
846,209.6375101
847,209.9748991
848,210.3123997
849,210.6500117
850,210.987735
851,211.3255694
852,211.6635147
853,212.0015708
854,212.3397376
855,212.6780148
856,213.0164023
857,213.3549
858,213.6935076
859,214.0322251
860,214.3710523
861,214.709989
862,215.0490351
863,215.3881904
864,215.7274547
865,216.0668279
866,216.4063099
867,216.7459004
868,217.0855994
869,217.4254066
870,217.7653219
871,218.1053452
872,218.4454762
873,218.7857149
874,219.126061
875,219.4665145
876,219.8070751
877,220.1477427
878,220.4885171
879,220.8293982
880,221.1703859
881,221.5114799
882,221.8526801
883,222.1939864
884,222.5353986
885,222.8769165
886,223.21854
887,223.5602689
888,223.902103
889,224.2440423
890,224.5860865
891,224.9282355
892,225.2704891
893,225.6128472
894,225.9553096
895,226.2978762
896,226.6405468
897,226.9833212
898,227.3261993
899,227.6691809
900,228.0122658
901,228.355454
902,228.6987453
903,229.0421394
904,229.3856363
905,229.7292357
906,230.0729376
907,230.4167417
908,230.760648
909,231.1046561
910,231.4487661
911,231.7929777
912,232.1372908
913,232.4817052
914,232.8262207
915,233.1708373
916,233.5155547
917,233.8603727
918,234.2052913
919,234.5503103
920,234.8954295
921,235.2406487
922,235.5859678
923,235.9313867
924,236.2769051
925,236.622523
926,236.9682401
927,237.3140563
928,237.6599715
929,238.0059855
930,238.3520981
931,238.6983091
932,239.0446185
933,239.3910261
934,239.7375316
935,240.084135
936,240.4308361
937,240.7776347
938,241.1245306
939,241.4715238
940,241.8186141
941,242.1658012
942,242.5130851
943,242.8604655
944,243.2079424
945,243.5555155
946,243.9031848
947,244.2509499
948,244.5988109
949,244.9467675
950,245.2948196
951,245.642967
952,245.9912096
953,246.3395472
954,246.6879796
955,247.0365067
956,247.3851283
957,247.7338443
958,248.0826545
959,248.4315588
960,248.7805569
961,249.1296488
962,249.4788343
963,249.8281132
964,250.1774854
965,250.5269507
966,250.8765089
967,251.2261599
968,251.5759036
969,251.9257397
970,252.2756681
971,252.6256888
972,252.9758014
973,253.3260058
974,253.676302
975,254.0266896
976,254.3771687
977,254.7277389
978,255.0784003
979,255.4291525
980,255.7799954
981,256.1309289
982,256.4819529
983,256.8330671
984,257.1842715
985,257.5355657
986,257.8869498
987,258.2384235
988,258.5899867
989,258.9416392
990,259.2933809
991,259.6452116
992,259.9971311
993,260.3491393
994,260.701236
995,261.0534212
996,261.4056945
997,261.7580559
998,262.1105051
999,262.4630422
1000,262.8156668
1001,263.1683788
1002,263.1710822
1003,263.5232803
1004,263.8755688
1005,264.2279479
1006,264.5804172
1007,264.9329768
1008,265.2856266
1009,265.6383664
1010,265.9911962
1011,266.3441158
1012,266.6971252
1013,267.0502243
1014,267.403413
1015,267.7566912
1016,268.1100587
1017,268.4635156
1018,268.8170616
1019,269.1706968
1020,269.524421
1021,269.8782341
1022,270.2321361
1023,270.5861268
1024,270.9402061
1025,271.2943739
1026,271.6486303
1027,272.0029749
1028,272.3574079
1029,272.711929
1030,273.0665382
1031,273.4212353
1032,273.7760204
1033,274.1308932
1034,274.4858537
1035,274.8409019
1036,275.1960375
1037,275.5512605
1038,275.9065709
1039,276.2619685
1040,276.6174532
1041,276.973025
1042,277.3286837
1043,277.6844292
1044,278.0402615
1045,278.3961805
1046,278.752186
1047,279.108278
1048,279.4644564
1049,279.820721
1050,280.1770718
1051,280.5335088
1052,280.8900317
1053,281.2466405
1054,281.6033351
1055,281.9601155
1056,282.3169814
1057,282.6739329
1058,283.0309698
1059,283.3880921
1060,283.7452996
1061,284.1025922
1062,284.4599699
1063,284.8174326
1064,285.1749801
1065,285.5326124
1066,285.8903294
1067,286.2481309
1068,286.6060169
1069,286.9639874
1070,287.3220421
1071,287.680181
1072,288.038404
1073,288.3967111
1074,288.7551021
1075,289.1135769
1076,289.4721354
1077,289.8307776
1078,290.1895033
1079,290.5483124
1080,290.907205
1081,291.2661807
1082,291.6252397
1083,291.9843817
1084,292.3436067
1085,292.7029145
1086,293.0623052
1087,293.4217785
1088,293.7813345
1089,294.140973
1090,294.5006938
1091,294.860497
1092,295.2203824
1093,295.5803499
1094,295.9403995
1095,296.300531
1096,296.6607443
1097,297.0210394
